"DateTime","Players"
2019-05-13,1186
2019-05-14,3462
2019-05-15,3489
2019-05-16,2902
2019-05-17,2674
2019-05-18,3416
2019-05-19,3821
2019-05-20,2172
2019-05-21,1887
2019-05-22,1731
2019-05-23,1504
2019-05-24,1413
2019-05-25,1710
2019-05-26,1763
2019-05-27,1328
2019-05-28,1037
2019-05-29,912
2019-05-30,1029
2019-05-31,917
2019-06-01,1046
2019-06-02,1125
2019-06-03,812
2019-06-04,720
2019-06-05,632
2019-06-06,647
2019-06-07,604
2019-06-08,745
2019-06-09,807
2019-06-10,705
2019-06-11,498
2019-06-12,484
2019-06-13,457
2019-06-14,447
2019-06-15,626
2019-06-16,691
2019-06-17,444
2019-06-18,356
2019-06-19,318
2019-06-20,384
2019-06-21,339
2019-06-22,406
2019-06-23,452
2019-06-24,299
2019-06-25,265
2019-06-26,470
2019-06-27,611
2019-06-28,610
2019-06-29,844
2019-06-30,1074
2019-07-01,818
2019-07-02,685
2019-07-03,638
2019-07-04,660
2019-07-05,577
2019-07-06,776
2019-07-07,899
2019-07-08,686
2019-07-09,664
2019-07-10,523
2019-07-11,471
2019-07-12,459
2019-07-13,596
2019-07-14,641
2019-07-15,422
2019-07-16,360
2019-07-17,341
2019-07-18,336
2019-07-19,280
2019-07-20,363
2019-07-21,411
2019-07-22,280
2019-07-23,242
2019-07-24,232
2019-07-25,218
2019-07-26,217
2019-07-27,288
2019-07-28,344
2019-07-29,230
2019-07-30,216
2019-07-31,225
2019-08-01,197
2019-08-02,194
2019-08-03,259
2019-08-04,289
2019-08-05,212
2019-08-06,221
2019-08-07,191
2019-08-08,180
2019-08-09,181
2019-08-10,225
2019-08-11,262
2019-08-12,196
2019-08-13,165
2019-08-14,152
2019-08-15,182
2019-08-16,150
2019-08-17,214
2019-08-18,257
2019-08-19,174
2019-08-20,171
2019-08-21,166
2019-08-22,131
2019-08-23,142
2019-08-24,196
2019-08-25,232
2019-08-26,166
2019-08-27,131
2019-08-28,138
